Product,Product_code,Quantity_sales_batch_unit,Price_excl_vat_per_sales_unit,Quantity_base_unit,Price_excl_vat_per_base_unit,Producer,Sustainable,Meat_certs,Supplier
Bass Strait Beef Steak Flank 32 LB AVG HALAL,,,,,,,,,
,2210SY,6.421 CS,$263.680 / CS,205.470 lb,$8.240 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
BEEF BARBACOA,,,,,,,,,
,2210SY,4.327 CS,$272.960 / CS,138.450 lb,$8.530 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
BEEF STEAK PHILLY FAS BRKWY,,,,,,,,,
,4367264,2.000 CS,$60.460 / CS,20.000 lb,$6.046 / lb,,No,,Sysco Food Services Inc
Beef Stew Cut Cream Co. 20 LB AVG HALAL,,,,,,,,,
,6805,82.016 CS,$145.600 / CS,"1,640.320 lb",$7.280 / lb,Cream Co*,,,Cream Co Meats
,6805,4.050 CS,$146.800 / CS,81.000 lb,$7.340 / lb,Cream Co*,,,Cream Co Meats
,6805,13.000 CS,$157.600 / CS,260.000 lb,$7.880 / lb,Cream Co*,,,Cream Co Meats
BEEF TENDERLOIN CHOICE DF 5 UP 189A 12 (5-7 LB) ,,,,,,,,,
,00170350-01-002,0.082 CS,"$1,617.000 / CS",6.900 lb,$19.250 / lb,,,,Del Monte (Allen Brothers)
,00170350-01-002,0.085 CS,"$1,648.080 / CS",7.140 lb,$19.620 / lb,,,,Del Monte (Allen Brothers)
Beef Tri-Tip Creekstone 50 LB AVG HALAL,,,,,,,,,
,39285,113.470 CS,$338.000 / CS,"5,673.460 LB",$6.760 / LB,Creekstone Naturals,Yes,"CH: Certified Humane Raised and Handled, GAP: Global Animal Partnership Certified",Cream Co Meats
,39285,0.000 CS,$338.250 / CS,0.000 LB,$6.765 / LB,Creekstone Naturals,Yes,"CH: Certified Humane Raised and Handled, GAP: Global Animal Partnership Certified",Cream Co Meats
,39285,10.639 CS,$364.500 / CS,531.950 LB,$7.290 / LB,Creekstone Naturals,Yes,"CH: Certified Humane Raised and Handled, GAP: Global Animal Partnership Certified",Cream Co Meats
Beef Tri-Tip Greenham 32 LB AVG HALAL,,,,,,,,,
,2131NQ,0.000 CS,$216.320 / CS,0.000 lb,$6.760 / lb,Greenham,,,Cream Co Meats
,2131NQ,6.296 CS,$256.000 / CS,201.470 lb,$8.000 / lb,Greenham,,,Cream Co Meats
,2131NQ,0.000 CS,$267.200 / CS,0.000 lb,$8.350 / lb,Greenham,,,Cream Co Meats
Beef Tri-Tip Greenham Bass Strait 32 LB AVG HALAL,,,,,,,,,
,2131SY,4.919 CS,$216.320 / CS,157.410 lb,$6.760 / lb,Greenham,,,Cream Co Meats
,2131SY,20.922 CS,$258.560 / CS,669.510 lb,$8.080 / lb,Greenham,,,Cream Co Meats
Beef Tri-Tip Greenham Bass Strait CW 32 LB AVG,,,,,,,,,
,2131BS,0.000 CS,$258.560 / CS,0.000 lb,$8.080 / lb,,,,Cream Co Meats
"Beef, Thin Slice 0.1"", 2mm, 5#/cryo, 20#/cs, Halal",,,,,,,,,
,6815F,9.170 CS,$146.800 / CS,183.400 lb,$7.340 / lb,,,,Cream Co Meats
"Beef, Tri Tip, Peeled",,,,,,,,,
,2131NE,419.100 lb,$8.080 / lb,419.100 lb,$8.080 / lb,,,,Cream Co Meats
Brisket Beef Whole Kosher (K),,,,,,,,,
,7002,"1,031.720 lb",$11.990 / lb,"1,031.720 LB",$11.990 / LB,,No,,Oakland Kosher Foods
Corned Beef (Deli Meat) KOSHER,,,,,,,,,
,4002,111.950 lb,$18.990 / lb,111.950 LB,$18.990 / LB,,No,,Oakland Kosher Foods
Country Natural Beef Brisket ,,,,,,,,,
,43510,5.477 CS,$200.400 / CS,219.060 lb,$5.010 / lb,,,,Cream Co Meats
Creekstone Beef Bulk Ground 5# Bag 20 LB AVG HALAL,,,,,,,,,
,6800,180.780 CS,$118.600 / CS,"3,615.600 lb",$5.930 / lb,Cream Co*,,,Cream Co Meats
Creekstone Beef Corned Beef Classic 20 LB Avg ,,,,,,,,,
,28200,87.219 CS,$159.800 / CS,"1,744.380 lb",$7.990 / lb,,,,Cream Co Meats
Creekstone Beef Patty 4 oz (4/1) 18 LB AVG HALAL,,,,,,,,,
,6830,211.000 CS,$107.610 / CS,"3,798.000 lb",$5.978 / lb,Cream Co*,,,Cream Co Meats
,6830,51.000 CS,$107.640 / CS,918.000 lb,$5.980 / lb,Cream Co*,,,Cream Co Meats
Creekstone Beef Patty 5.33 oz (3/1) 16 LB AVG HALAL,,,,,,,,,
,6840,221.000 CS,$95.650 / CS,"3,536.000 lb",$5.978 / lb,Cream Co*,,,Cream Co Meats
,6840,24.000 CS,$95.680 / CS,384.000 lb,$5.980 / lb,Cream Co*,,,Cream Co Meats
Creekstone Beef Tri-Tip 50 LB AVG HALAL,,,,,,,,,
,39285,193.389 CS,$338.000 / CS,"9,669.530 LB",$6.760 / LB,Creekstone Naturals,Yes,"CH: Certified Humane Raised and Handled, GAP: Global Animal Partnership Certified",Cream Co Meats
DEL REAL BEEF CARNE ASADA DICED 1/4 FULL CKD,,,,,,,,,
,4517588,43.000 CS,$164.410 / CS,860.000 lb,$8.221 / lb,Del Real Foods,,,Sysco Food Services Inc
,4517588,99.000 CS,$164.420 / CS,"1,980.000 lb",$8.221 / lb,Del Real Foods,,,Sysco Food Services Inc
,4517588,107.000 CS,$164.430 / CS,"2,140.000 lb",$8.222 / lb,Del Real Foods,,,Sysco Food Services Inc
EVERGOOD HOT DOG 7 IN BEEF 4 PER LB) 2 (5LB),,,,,,,,,
,7022977,10.000 CS,$48.880 / CS,100.000 lb,$4.888 / lb,Evergood,,,Sysco Food Services Inc
,7022977,3.000 CS,$48.890 / CS,30.000 lb,$4.889 / lb,Evergood,,,Sysco Food Services Inc
Flank Steak Beef,,,,,,,,,
,00102450-01-003,0.000 CS,$368.160 / CS,0.000 LB,$7.670 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
FRANK ALL-BEEF 6X1,,,,,,,,,
,2450484,20.000 CS,$17.880 / CS,200.000 lb,$1.788 / lb,Ball Park,No,,Sysco Food Services Inc
FRANK ALL-BEEF 6X1 6,,,,,,,,,
,1970888,60.000 CS,$29.980 / CS,601.200 lb,$2.992 / lb,Block & Barrel,No,,Sysco Food Services Inc
,1970888,40.000 CS,$30.180 / CS,400.800 lb,$3.012 / lb,Block & Barrel,No,,Sysco Food Services Inc
,1970888,43.000 CS,$31.880 / CS,430.860 lb,$3.182 / lb,Block & Barrel,No,,Sysco Food Services Inc
,1970888,94.000 CS,$38.340 / CS,941.880 lb,$3.826 / lb,Block & Barrel,No,,Sysco Food Services Inc
,1970888,19.000 CS,$39.710 / CS,190.380 lb,$3.963 / lb,Block & Barrel,No,,Sysco Food Services Inc
FRANK BEEF SKNLS 5X1 6,,,,,,,,,
,7037705,57.000 CS,$48.880 / CS,570.000 lb,$4.888 / lb,Evergood,No,,Sysco Food Services Inc
,7037705,3.000 CS,$48.890 / CS,30.000 lb,$4.889 / lb,Evergood,No,,Sysco Food Services Inc
Ground Beef,,,,,,,,,
,00107977-01-003,0.000 CS,$220.800 / CS,0.000 LB,$3.680 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
Ground Beef Halal,,,,,,,,,
,00220225-01-003,0.000 CS,$297.000 / CS,0.000 LB,$4.950 / LB,Thomas Foods,Yes,CH: Certified Humane Raised and Handled,Del Monte (Allen Brothers)
Ground Beef Kosher (K),,,,,,,,,
,7004,"1,195.568 lb",$8.990 / lb,"1,195.568 LB",$8.990 / LB,,No,,Oakland Kosher Foods
HARRIS RANCH BEEF CHUCK TENDER HALAL CH 16 (4.3 LB),,,,,,,,,
,7185414,3.623 CS,$321.984 / CS,249.300 lb,$4.680 / lb,,,,Sysco Food Services Inc
Harris Ranch Beef Chuck Tender Halal Choice Frozen 16 (4.3 LB),,,,,,,,,
,7219717,0.000 CS,$187.921 / CS,0.000 lb,$3.230 / lb,,,,Sysco Food Services Inc
HARRIS RANCH BEEF DICED HALAL STEW 12 (1.5 LB),,,,,,,,,
,7328557,203.105 CS,$104.400 / CS,"3,655.890 lb",$5.800 / lb,,,,Sysco Food Services Inc
