Semester,week,day,meal,dining_hall,recipe,Ingredient,Category,percent_meat,meat_price_per_dish,Expected_lb_meat_portion,oz_meat_per_dish,Conventional_price_lb,Sustainable_price_lb,Default_sus,portion_size_oz,planned_portions,planned_weight_lbs,cost_recipe_per_portion
SP26,2,Wednesday,Dinner,CKC,Pork Kalua,Pork Butt Boneless,Pork,0.96,0.78,0.24,3.84,3.25,,No,4.02,600,150.8,
F25,2,Saturday,Dinner,CKC,Pork Kalua,Pork Butt Boneless,Pork,0.96,0.78,0.24,3.84,3.25,,No,4.02,600,150.8,0.98
F25,1,Tuesday,Dinner,CKC,Chicken Thigh Latin Braised Shredded,Chicken Thigh Boneless HALAL,Chicken,0.52,0.26,0.13,2.09,1.98,,No,4,600,150,0.52
F25,1,Wednesday,Dinner,CKC,Pork Loin Roasted,Pork Loin Boneless,Pork,1,0.9,0.24,3.84,,3.75,Yes,3.86,600,144.58,0.97
SP26,1,Thursday,Dinner,CKC,Chicken 8 Cut Piri Piri Roasted,Chicken 8 Cut HALAL,Chicken,0.81,0.63,0.24,3.84,,2.62,Yes,4.73,600,177.23,
F25,1,Thursday,Dinner,CKC,Chicken 8 Cut Piri Piri Roasted,Chicken 8 Cut HALAL,Chicken,0.81,0.63,0.24,3.84,,2.62,Yes,4.73,600,177.23,0.86
F25,3,Friday,Dinner,CKC,Chicken Breast Parmesan Baked,Chicken Breast B/S Raw 4 oz,Chicken,0.46,0.99,0.2,3.2,4.94,6.93,No,6.9,595,256.67,1.46
F25,2,Wednesday,Dinner,CKC,Chicken Thigh Tikka Masala,Chicken Diced Meat Precooked,Chicken,0.65,0.8,0.2,3.2,4.02,,No,4.91,595,182.58,1.2
F25,4,Thursday,Dinner,CKC,Chicken Thigh Tikka Masala,Chicken Diced Meat Precooked,Chicken,0.65,0.8,0.2,3.2,4.02,,No,4.91,595,182.58,1.2
F25,3,Wednesday,Dinner,CKC,Chicken Szechuan HALAL,Chicken Diced Dark Meat HALAL,Chicken,0.44,0.58,0.16,2.56,3.64,,No,5.84,595,217.13,1.31
F25,2,Tuesday,Dinner,CKC,Chicken 8 Cut Lemon Thyme Baked,Chicken 8 Cut HALAL,Chicken,0.88,0.63,0.24,3.84,,2.62,Yes,4.37,595,162.54,1.28
SP26,3,Monday,Lunch,CKC,Pork Loin Roasted,Pork Loin Boneless,Pork,1,0.9,0.24,3.84,,3.75,Yes,3.86,584,140.73,
F25,3,Thursday,Dinner,CKC,Catfish Blackened,Catfish Fillet,Fish,0.82,1.45,0.24,3.84,6.03,,No,4.71,560,164.81,1.47
SP26,3,Sunday,Dinner,CKC,Meatballs Beef Swedish With Gravy,Beef Meatball Precooked,Beef,0.64,1.41,0.25,4,5.64,0,No,6.28,560,219.74,
F25,2,Thursday,Dinner,CKC,Pork Chile Verde,Pork Stew Cut,Pork,0.78,1.13,0.24,3.84,4.69,4.62,No,4.94,560,173.02,1.25
F25,4,Saturday,Dinner,CKC,Chicken Breast Coconut Curry Thai Sauteed,Chicken Breast Fajita Cut,Chicken,0.48,0.55,0.18,2.81,3.15,,No,5.86,560,205.16,1.1
F25,3,Monday,Dinner,CKC,Chicken Thigh Pomegranate Baked,Chicken Thigh Bone In HALAL,Chicken,0.85,0.35,0.25,4,1.41,,No,4.71,560,164.74,0.64
F25,3,Sunday,Dinner,CKC,Meatballs Beef Swedish With Gravy,Beef Meatball Precooked,Beef,0.64,1.41,0.25,4,5.64,0,No,6.28,553,217,1.49
F25,3,Saturday,Dinner,CKC,Pork Ham Pineapple Glaze Baked,Pork Ham Boneless,Pork,0.86,1.07,0.25,4,4.3,,No,4.64,525,152.25,0.81
F25,1,Saturday,Dinner,CKC,Chicken Corn Tortilla Baked Red Sauce Enchiladas,Chicken Thigh Boneless Precooked,Chicken,0.37,1.44,0.25,4,5.78,,No,10.75,510,342.62,1.1
F25,4,Saturday,Dinner,C3,Beef Ground Taco Meat Sauteed,Beef Ground HALAL,Beef,0.67,0.58,0.16,2.55,3.61,0,No,3.8,500,118.66,0.83
F25,1,Thursday,Dinner,XRDS,Chicken Teriyaki SG,Chicken Thigh Boneless HALAL,Chicken,0.84,0.4,0.2,3.2,1.98,,No,3.8,500,118.74,0.73
SP26,3,Wednesday,Lunch,CKC,Beef Java Curry,Beef Stew Cut,Beef,0.36,1.11,0.12,2,8.92,,No,5.49,480,164.65,
SP26,4,Monday,Dinner,CKC,Chicken Butter,Chicken Thigh Boneless Precooked,Chicken,0.65,1.45,0.25,4,5.78,,No,6.18,480,185.27,
SP26,4,Thursday,Lunch,CKC,Chicken Wing Fried Party Basic,Chicken Wings Party,Chicken,0.99,0.92,0.5,8,1.84,3.39,No,8.05,480,241.5,
F25,1,Friday,Lunch,CKC,Pork Char Siu Roasted,Pork Butt Boneless,Pork,0.92,0.78,0.24,3.84,3.25,,No,4.16,462,120.12,1.03
F25,4,Friday,Dinner,CKC,Rockfish Ginger Steamed HALAL,Rockfish Fillet,Fish,0.66,1.93,0.25,4.02,6.9,7.69,Yes,6.12,455,174.13,2.06
SP26,1,Friday,Dinner,CKC,Salmon Dijon Herb Crusted Baked,Salmon Fillet Standard,Fish,0.9,1.99,0.24,3.84,,8.28,Yes,4.26,455,121.08,
SP26,2,Friday,Dinner,CKC,Salmon Mango Salsa Baked,Salmon Fillet Standard,Fish,0.8,1.99,0.24,3.84,,8.28,Yes,4.83,455,137.4,
F25,1,Friday,Dinner,CKC,Salmon Dijon Herb Crusted Baked,Salmon Fillet Standard,Fish,0.9,1.99,0.24,3.84,,8.28,Yes,4.26,455,121.08,0.38
F25,2,Friday,Dinner,CKC,Salmon Mango Salsa Baked,Salmon Fillet Standard,Fish,0.8,1.99,0.24,3.84,,8.28,Yes,4.83,455,137.4,0.43
SP26,4,Friday,Dinner,CKC,Meatloaf Beef Glazed Baked HALAL,Beef Ground HALAL,Beef,0.35,0.48,0.13,2.13,3.61,0,No,6.13,450,172.49,
F25,4,Wednesday,Dinner,CKC,Chicken Thigh Tinga Precooked,Chicken Thigh Boneless Precooked,Chicken,0.88,1.39,0.24,3.84,5.78,,No,4.35,441,120.03,1.21
SP26,3,Thursday,Lunch,CKC,Chicken Tenders Fried,Chicken Tenderloin Breaded Precooked,Chicken,0.96,0.24,0.25,4.04,0.97,,No,4.22,435,114.63,
F25,4,Friday,Lunch,CKC,Chicken Thigh Jerk Baked HALAL,Chicken Thigh Boneless HALAL,Chicken,0.9,0.48,0.24,3.84,1.98,,No,4.25,425,112.83,2.2
F25,1,Thursday,Lunch,CKC,Chicken 8 Cut North African Roasted HALAL AF,Chicken 8 Cut HALAL,Chicken,0.93,0.63,0.24,3.84,,2.62,Yes,4.15,425,110.16,0.87
F25,1,Monday,Lunch,XRDS,Chicken Sesame Orange Tamarind SG,Chicken Tempura,Chicken,0.67,0.65,0.2,3.2,3.25,,No,4.77,400,119.15,1.36
F25,4,Wednesday,Lunch,CKC,Chicken Tenders Korean BBQ,Chicken Tenderloin Breaded Precooked,Chicken,0.8,0.24,0.25,4,0.97,,No,5,400,125,0.37
F25,3,Friday,Lunch,CKC,Pork Pulled BBQ Housemade,Pork Butt Boneless,Pork,0.82,0.65,0.2,3.2,3.25,,No,3.92,400,98.06,0.83
F25,3,Monday,Lunch,CKC,Stew Beef Haneeth Yemeni KOSHER,Beef Stew Cut KOSHER,Beef,0.81,2.78,0.25,4.05,10.99,,No,5,400,125,3.37
SP26,2,Friday,Lunch,CKC,Cod Breaded Fried with Tartar Sauce,Cod Fillet Breaded,Fish,0.86,2.48,0.25,4,9.91,,No,4.68,400,116.91,
F25,2,Friday,Lunch,CKC,Cod Breaded Fried with Tartar Sauce,Cod Fillet Breaded,Fish,0.86,2.48,0.25,4,9.91,,No,4.68,400,116.91,2.35
SP26,4,Monday,Lunch,CKC,Stew Beef Siga Tibs,Beef Stew Cut,Beef,0.5,1.43,0.16,2.56,8.92,,No,5.12,400,128.05,
F25,4,Thursday,Lunch,CKC,Stew Beef Siga Tibs,Beef Stew Cut,Beef,0.5,1.43,0.16,2.56,8.92,,No,5.12,400,128.05,1.74
